0.31412191,0.13502751,0.59044281,0.9490397,0.05313537,0.97047885,0.81308347,0.62434362,7.38153659
0.75922716,0.59701731,0.96706058,0.19282897,0.61852729,0.70313113,0.72158054,0.26410921,6.21406582
0.21710131,0.24491513,0.3383211,0.18066511,0.18311756,0.32622381,0.99549019,0.43828718,8.34373778
0.8422426,0.75080398,0.08967149,0.07753885,0.60628273,0.96448816,0.4047943,0.3488452,8.20235493
0.26152404,0.66703483,0.77249656,0.95691959,0.78432753,0.41064355,0.81851493,0.55903701,7.0175736
0.78257059,0.79426946,0.04163799,0.61165619,0.17310007,0.61145922,0.30226197,0.03114252,8.15436185
0.43306229,0.13706235,0.58553888,0.23284215,0.43636386,0.86378873,0.6184323,0.57716657,8.59988062
0.71743724,0.04646644,0.58190968,0.55501585,0.96341122,0.00821276,0.82284594,0.39816868,7.41496438
0.96265418,0.60498179,0.66553887,0.59802506,0.73395036,0.21554961,0.83476125,0.47750574,6.35307753
0.83648618,0.59223874,0.60481445,0.87167105,0.06475259,0.94181654,0.1820288,0.87179807,7.04891614
0.05551499,0.25585794,0.00084777,0.37678618,0.50900494,0.21516139,0.87518114,0.30841419,8.83964993
0.04343225,0.10004702,0.22342261,0.01686426,0.28000728,0.36384718,0.32840638,0.83239639,9.75508539
0.65116448,0.36771347,0.17058021,0.05053714,0.10943459,0.40735138,0.25028503,0.88840798,9.069804
0.57134259,0.58373598,0.31672936,0.83670872,0.45709021,0.21672051,0.59691357,0.34820605,8.33091139
0.3986411,0.51405171,0.32944982,0.48072035,0.71967069,0.07559504,0.50629244,0.33463235,9.08235861
0.39502561,0.40603148,0.31738856,0.1584283,0.95077025,0.76540465,0.70524418,0.6100651,9.06259425
0.82321952,0.57955844,0.47378997,0.41932445,0.06151819,0.55667448,0.49405923,0.26332807,7.88211016
0.6064163,0.60750891,0.92822057,0.58576799,0.2709797,0.91807204,0.367446,0.57693699,6.8055637
0.16122769,0.66870972,0.05982608,0.59734287,0.17457308,0.43314802,0.00321444,0.29389698,9.22168616
0.21195968,0.02074541,0.45101591,0.69575735,0.06172169,0.1228022,0.60744652,0.07086501,8.57638926
0.71521679,0.02832286,0.99780488,0.81553799,0.54182957,0.48146515,0.31331951,0.20437228,6.45101025
0.23194803,0.52111803,0.12886932,0.46476963,0.43442261,0.01565881,0.6771766,0.96067467,8.95855365
0.51873586,0.97589978,0.21108288,0.81311735,0.9947652,0.89186,0.29649214,0.88175486,8.30868114
0.23702418,0.70530467,0.3871861,0.05217464,0.44492155,0.84059423,0.24534167,0.1106751,9.23898119
0.02599124,0.24369067,0.99437425,0.07253572,0.54490732,0.64134257,0.55025561,0.13304017,7.41316123
0.48025613,0.8041596,0.47786905,0.29009182,0.71902977,0.83929694,0.69557076,0.51209755,8.28986748
0.30501851,0.93573922,0.49561086,0.48451729,0.5596801,0.08413144,0.66208737,0.30273765,8.14792352
0.79931812,0.02481222,0.71222101,0.14658437,0.01930307,0.31538248,0.92827831,0.1162589,6.56627417
0.34745494,0.88941075,0.33104542,0.74680421,0.54667914,0.82494349,0.36462573,0.23472655,8.64815107
0.23927489,0.96216338,0.32394688,0.60328219,0.23414741,0.05573627,0.70411902,0.96701128,8.10407818
0.6512257,0.16211732,0.13206297,0.68938819,0.99311242,0.51952382,0.65111534,0.61567683,8.67513919
0.01593524,0.01663874,0.47347296,0.09364429,0.71067413,0.68274011,0.83250194,0.0165177,8.73943795
0.83082712,0.89820514,0.58321575,0.49739566,0.61587817,0.47925311,0.37704664,0.7810816,7.55172428
0.29212834,0.08283856,0.34265159,0.59953963,0.28583096,0.23984272,0.94696981,0.24173834,8.25528511
0.60279361,0.96217201,0.89493838,0.03562571,0.10545264,0.88713768,0.33300622,0.0854183,6.61336583
0.66338487,0.40294691,0.91643683,0.38647627,0.18246363,0.06197538,0.89619618,0.52292247,6.03732966
0.71415628,0.88418175,0.64381258,0.63428988,0.89764549,0.77910916,0.79994683,0.27904511,6.86721166
0.83363392,0.0119176,0.40360061,0.73703095,0.11666705,0.63233604,0.91460618,0.08005615,7.03597564
0.00554017,0.36747789,0.55228285,0.6525937,0.05334086,0.94646512,0.9697545,0.82020509,7.47931514
0.94172091,0.04551294,0.95383975,0.85300803,0.93944963,0.99935421,0.7607375,0.6056816,5.15380413
