0.90048221,0.46996691,-0.0
0.86243528,0.4352856,-0.0
0.09311333,0.31520745,-0.0
0.48975434,0.16844847,0.0
0.90132685,0.67366454,0.0
0.32101719,0.63497061,0.0
0.32044659,0.42030664,-5e-08
0.63861791,0.73839723,-0.0
0.59648578,0.61407967,0.06591476
0.48366726,0.31942835,0.0
0.96227495,0.90831843,0.0
0.46937596,0.55313941,-0.0
0.06938944,0.62671938,-0.0
0.59640851,0.81673367,0.0
0.1409109,0.3179331,-0.0
0.58653471,0.20732755,-0.0
0.61533925,0.18320905,-0.0
0.9068703,0.76151747,0.0
0.58038966,0.57243686,6.904e-05
0.55684911,0.58265192,4.65e-06
