0,1,2,3,4,5,6
0.2726238220336933,0.3244953623087271,0.8971088103082926,0.8329511521103058,0.1540626853924547,0.7958636234722036,0.6044326958745716
0.5430025769847714,0.9246939036961066,0.3415674591580987,0.6464858491139559,0.7184403268342174,0.343132663729359,0.5627530668655433
0.0908322480237533,0.661529381768249,0.0659309106387106,0.2585770079605848,0.9634528513541344,0.6402653979255966,0.0075032366780494
0.1188669748729491,0.6150549401610158,0.905816385208328,0.8553003035780179,0.413631428794535,0.5852356278450974,0.0614243025035577
0.6302176411815951,0.8380968963061266,0.6800130516496496,0.7318950900926644,0.5267367145175407,0.3484292133580069,0.2730468012675986
0.7649191728046694,0.2558829170119807,0.6090842238764527,0.2180790418950807,0.3229427691734139,0.0957936551163807,0.0837465723201556
0.0578955419713852,0.4916722186390136,0.2474222237486748,0.2181184363983763,0.4204283295460158,0.7309698428701273,1.3649683044991994
0.1952518811346716,0.0792266505913742,0.5545804616685562,0.1705668196824058,0.0149441764292923,0.1070317101032337,0.092644954947936
0.6423029815827472,0.8368745468225558,0.0217926914858608,0.1014880095386535,0.6830708282995157,0.6924164003473481,0.0178695987224958
0.7899425542216801,0.1955450052633577,0.5756233261057669,0.0736591872735596,0.2590491743381623,0.0510998642136429,0.0335649360370371
0.528497327736147,0.4574243553412764,0.3600956902472011,0.3620455063942089,0.8168909784453008,0.6374763663139539,0.0735163042101616
0.7226152153368091,0.0118128367086762,0.0636459129084119,0.1651731060371132,0.0792441460020747,0.3599516573745739,0.2063096979535943
0.075664921203212,0.3345021188695649,0.1327327373482277,0.6083123613447988,0.9183859177326256,0.8223307855119826,0.0088256339995108
0.9424508393797228,0.3774396214241422,0.4861223262441836,0.2287910830613805,0.0826317471040851,0.7119575508609557,0.2684003169374463
0.1486470213912621,0.0339433634393899,0.7288056495692345,0.3160664556651587,0.0217693827506691,0.516917757345384,0.6115255284647864
0.8171123887819559,0.548168230898132,0.1033475776705327,0.1243695458124163,0.7282348211044535,0.4496736121668913,0.0147981826027018
0.417626292718232,0.0640999813892186,0.2456687739007659,0.5590407960737909,0.1915313840384432,0.2546409230877973,0.2748925084715891
0.7262856636678173,0.46489580525881,0.924570514134938,0.807245395137576,0.6354383951825947,0.1434178743844922,0.0667632468819332
