0,1,2
0.6657995800131589,0.123969127675349,0.5389961189269181
0.8777909889953304,0.7786275008473289,0.4205862396279826
0.142699074235946,0.3490051305732001,-0.0656236244373373
0.8452754286767249,0.7111202665952655,0.293992912410866
0.4546471410512441,0.2904551797740609,0.2149645101004509
0.5777128444074784,0.7719731841154063,0.0231055497981905
0.4381660616117107,0.6850182567997548,0.2446193440044803
0.3417495930288503,0.0286977198222778,0.0387490151561584
0.3386481568870176,0.2138672456386436,-0.0138576181497298
0.7026365569244406,0.9265641975455574,0.6112052157614438
0.807265,0.967357,0.1080159606950325
0.5,0.5,0.764905598962495
0.999999,0.999999,-0.0124331826106129
0.0,0.969697,0.0520950794774024
0.500239,0.500103,0.7685356717363372
0.266137,0.647326,0.0038340583675776
0.45,0.55,0.325494638871295
0.481459,0.50959,0.6113285124146177
0.949407,0.41868,0.0443441947828471
0.541609,0.51093,0.3947287935767366
0.523216,0.473883,0.7333660882773155
0.75,0.75,0.3422
0.25,0.85,0.009662
0.506041,0.769406,0.587756576107688
0.545455,0.525253,0.157632656175866
0.979798,0.010101,-0.0262162695223045
0.495827,0.472199,0.9060669856664236
0.541609,0.51093,0.394728793576736
0.608249,0.300421,0.133339555904622
0.511212,0.388498,0.6175525124155725
0.671212,0.920673,0.6026545944539371
0.495827,0.472199,0.906066985666423
0.495338,0.446918,0.6478075201272979
0.671212,0.920673,0.602654594453937
0.507194,0.560648,0.789509270386461
0.467337,0.462312,0.408494431690143
0.500492,0.583965,0.7398215266940548
0.33162594,0.08049911,-0.02995427
0.10053279,0.47759524,0.08311962
0.67793216,0.87370355,0.56114332
0.13495584,0.52115767,0.01347696
0.53715567,0.24471459,0.38994406
0.6591284,0.63064156,0.42201818
0.47045207,0.53376825,0.58695686
0.72120239,0.36450644,0.56954976
0.7227338,0.43801822,0.69483209
0.24066761,0.14122907,0.03376806
0.514509,0.248765,0.4965842949178833
0.721157,0.887458,0.6374773183016389
0.698683,0.410052,0.5541101718022379
0.758262,0.415032,0.2083241561159964
0.504295,0.528323,0.8339842741775509
0.497487,0.472362,0.664772428317438
0.5,0.47,0.787587560133526
0.502204,0.543472,0.7226601710373268
0.495827,0.46,0.848892208324151
0.501967,0.409928,0.6657433777840517
0.490827,0.477199,0.81898706031884
0.500498,0.463097,0.7941938770463681
0.499976,0.515876,0.7946489865577016
0.49997,0.48,0.8232618022688414
0.596495,0.999999,
