0,1,2,3,4
0.1914470844571281,0.038193371351508,0.6074178108720669,0.4145841369758819,64.443439863301
0.7586529492430261,0.5365177380716337,0.6560003817255494,0.3603415530292175,18.30137959857266
0.4383498726531087,0.8043397048222797,0.2102452663986996,0.1512948160943209,0.1129397953712203
0.7060508340594309,0.5341919611519633,0.2642433451718953,0.4820875490370939,4.210898128938665
0.8364779930351233,0.19360964686178,0.6638926969585176,0.7856488828898288,258.3705254462536
0.6834322498676915,0.1186626417884907,0.8290459096967396,0.5675766059352313,78.43438888779464
0.553621479516824,0.6673499787364745,0.3238058191550842,0.8148697537245304,57.57153693261287
0.3523562694659523,0.3222415319718313,0.1169793675885731,0.4731125215557709,109.5718755614928
0.1537857059438134,0.7293816904129607,0.4225984366784806,0.4430741656488165,8.847991759070865
0.4634422673852829,0.630024510146729,0.1079064558186504,0.957643898670113,233.22361017105
0.6774911484129013,0.3585095065455117,0.4795922244652951,0.0728804811001407,24.423088313942344
0.5839734124984879,0.1472426461525712,0.3480974620935275,0.4286146510285499,64.42014681963983
0.3068887187315784,0.3168781265532129,0.6226344812966896,0.0953990581063173,63.47671578508436
0.5111417749497505,0.8179569972191587,0.7287104181315311,0.1123536230961304,79.72912992694343
0.4389333758453766,0.7740917616539319,0.3781670863874171,0.933696206815422,355.8068177560159
0.2241890233028834,0.8464804904862864,0.8794841797090803,0.8785156842249731,1088.8596181962705
0.7252617231526987,0.4798704862952277,0.0889468426065851,0.7597602201100938,28.866751637393826
0.3554816095006123,0.639619366711706,0.4176176788641453,0.122603839671336,45.181570346703786
0.119879225824281,0.8625403059525095,0.6433313263318788,0.8498038287021323,431.6127567592104
0.1268846700785032,0.1534296212513496,0.770162187580243,0.1905181050957739,9.972331894593824
0.285276,0.970759,0.999999,0.999999,4086.819203986348
0.5,0.5,0.5,0.5,32.0025
0.0,0.999999,0.999999,0.999999,4440.480873479282
0.706206,0.241307,0.210865,0.224078,32.16330848286248
0.285276,0.970759,0.999999,0.999999,4086.81920398634
0.460387,0.498557,0.477944,0.494719,42.18841949874609
0.05,0.99,0.99,0.99,4039.94400447454
0.25962,0.082902,0.879484,0.957644,661.8206162412993
0.057895,0.011812,0.245864,0.073659,159.52759252002247
0.999999,0.999999,0.999999,0.999999,8662.405001248297
0.904339,0.918092,0.802132,0.008308,1235.0300979088277
0.570538,0.999999,0.999999,0.999999,4840.791919701625
0.85,0.85,0.85,0.85,1865.3
0.22,0.38,0.85,0.73,93.730442
0.999999,0.1,0.1,0.1,191.07380776419407
0.999999,0.896552,0.999999,0.999999,7029.4842860032895
0.384991,0.889731,0.837857,0.758352,718.996016294086
0.879092,0.004994,0.686144,0.599438,165.85247639845613
0.904339,0.918092,0.802132,0.008308,1235.03009790882
0.540001,0.004853,0.990268,0.975726,1531.80680626279
0.999999,0.999999,0.999999,0.205492,4448.607915740239
0.961126,0.924971,0.307047,0.221433,884.9485381941934
0.879092,0.004994,0.686144,0.599438,165.852476398456
0.688309,0.076975,0.618906,0.102622,6.43437252666791
0.961126,0.924971,0.307047,0.221433,884.9485381941929
0.999998,0.999999,0.999999,0.999999,8662.385626671929
0.615318,0.976142,0.998266,0.907372,3553.20039330523
0.772795,0.447418,0.99364,0.023567,569.4408252542196
0.94478251,0.83050925,0.83227839,0.20292205,1164.73296885
0.05244809,0.43614877,0.37845743,0.18802639,121.18849322
0.06304804,0.86636135,0.85864857,0.2085756,287.52228112
0.98882078,0.66382651,0.36648076,0.99624833,1980.66524361
0.7633217,0.62834667,0.78222976,0.81919558,528.52143598
0.14275584,0.20216247,0.93864415,0.22320333,65.90703251
0.17997633,0.81948394,0.36434617,0.88796618,273.99304007
0.51645398,0.39496365,0.95182759,0.69880194,334.96425334
0.26844685,0.49315648,0.00685878,0.76232741,3.03509422
0.3981843,0.88166606,0.1166999,0.84462821,316.81144195
0.30584223,0.93636618,0.95401692,0.88360492,2136.95298394
0.17995479,0.69481431,0.78705686,0.11803764,16.39239401
0.49675268,0.42376709,0.68348299,0.30627614,14.71984735
0.42326139,0.53827668,0.6836236,0.40884354,7.44697895
0.63954186,0.99740866,0.35346561,0.64339858,540.48714573
0.93742409,0.03577705,0.63450862,0.22699177,152.85440006
0.46963177,0.44637345,0.04460442,0.08712024,103.38310772
0.544687,0.95335541,0.32346906,0.61262944,253.16605706
0.20733069,0.31091806,0.6947729,0.11411475,35.92618757
0.37937978,0.79168224,0.22186303,0.0050104,2.10925883
0.459534,0.267683,0.809392,0.944111,456.6460363964512
0.154788,0.086058,0.010766,0.661387,55.56995620661248
0.932041,0.052698,0.849733,0.886763,1428.5148222614207
0.032092,0.202968,0.548437,0.517364,65.39728108526049
0.573551,0.992092,0.934603,0.996796,3883.4186224467
0.999999,0.999999,0.998,0.999999,8623.832500649261
0.999999,0.9999998,0.999999,0.999999,8662.385626671929
0.999999,0.999999,0.999999,0.99,8472.57496541567
0.999999,0.999999,0.999999,0.999997,8662.366252174515
0.980621,0.764956,0.999839,0.997126,5416.09822846788
0.999999,0.99817,0.999999,0.999999,8627.100588289715
0.999,0.999,0.999,0.999,8585.271169822427
0.1,0.2,0.3,0.4,135.73801093760002
0.061158,0.947697,0.089372,0.202818,
