0,1,2,3,4,5
0.7281861047460138,0.1546925696237983,0.7325516687239811,0.6939965090690888,0.0564013105182585,-0.7142649478202404
0.2423843472379075,0.8440999723462298,0.5778090988182423,0.6790212842838805,0.5019528879463457,-1.209955244676482
0.7295226100931684,0.7481062003003915,0.6797746408949024,0.3565522793389573,0.6710536834597941,-1.6721999396105658
0.770620241725545,0.1144037441632277,0.0467799318531783,0.6483242845395736,0.2735490526883131,-1.536057708569483
0.6188122987341569,0.3318021371842082,0.1872878677739272,0.756238474019041,0.3288347983365967,-0.8292365522578722
0.7849580941321159,0.9106823491056888,0.7081201035127033,0.9592254289504146,0.0049114958644046,-1.2470489267904978
0.1451107857376627,0.8966845977360148,0.8963222346125226,0.7262715366744776,0.2362719909120932,-1.2337863805718483
0.9450690681186656,0.2884590505951757,0.9788057635601995,0.9616555869902994,0.5980159363909763,-1.6943434420704928
0.1257201550301987,0.8627246921598651,0.0285443322310597,0.2466052719305281,0.7512062409044311,-2.5711696316081234
0.7575943553544202,0.35583141491553,0.0165228996855636,0.4342072049866272,0.1124330443582503,-1.309116352823696
0.5367969034860786,0.3087809072394932,0.4118792850649223,0.388225176718074,0.5225283039122706,-1.1447848512705794
0.9577396688833608,0.2356685723247081,0.0991458495572222,0.1568059338564619,0.0713173731062111,-1.9126771431925136
0.6293078953337721,0.803483678101385,0.8114084389735914,0.0456131857794496,0.1106244619896795,-1.622838951777173
0.0217353076637963,0.4280842403190724,0.8359394371193622,0.4894886594464341,0.511081734720247,-1.356682109382341
0.4393442638884286,0.6989238329035616,0.4268202222118266,0.1094760850521969,0.8778884681100685,-2.018425399374782
0.2589055738489062,0.7936777082611537,0.6421139049230902,0.1966734640138457,0.593103176750458,-1.7025578405650037
0.4321659328846983,0.7156178127534056,0.3418191030223866,0.7049998807959096,0.6149618447218453,-1.2942469649550403
0.7828798232609253,0.5363358585071114,0.4432835567472584,0.8596998258165416,0.0103259906755278,-0.9357565553342914
0.9217761980413874,0.9318712161635004,0.4148763697645736,0.5950572655783101,0.7356256864317131,-2.1557677641786004
0.1266789170613756,0.2914703014984706,0.0645284766706916,0.6805146028541535,0.892819191058788,-1.7468820870493065
0.2080215836418657,0.2319128495860187,0.4522199350814495,0.9847841645987376,0.0,-0.8104608088381151
0.5,0.5,0.5,0.5,0.5,-0.977703162741077
0.0,0.0,0.0,0.999999,0.0,-1.7477569508007775
0.320565,0.485308,0.469808,0.945294,0.210717,-0.6295900359794191
0.208022,0.231913,0.45222,0.984784,0.0,-0.810460808838115
0.285766,0.114404,0.111508,0.961656,0.004911,-1.20379353133597
0.32,0.5,0.5,0.95,0.21,-0.636617124645782
0.53529,0.439896,0.546061,0.961656,0.307408,-0.6512809438908589
0.0,0.959596,0.0,0.969697,0.0,-1.94520700502065
0.362682,0.0,0.999999,0.999999,0.0,-1.20871504071641
0.403203,0.315003,0.537422,0.597262,0.0,-0.4847733829040265
0.487103,0.294394,0.595896,0.819331,0.047096,-0.301869062076618
0.95,0.95,0.95,0.95,0.95,-2.422728
0.95,0.45,0.67,0.83,0.47,-1.014969
