0,1,2,3
0.1715252068810621,0.3439168702758373,0.2487372010692387,-0.1121222004625689
0.2421144606124933,0.6440742697791076,0.2724328091994552,-0.0879628602273644
0.5349057202251034,0.3985009153676316,0.1733887289456772,-0.111414654295324
0.4925814146371343,0.6115931882759961,0.3401763860035727,-0.0348353133500785
0.1346216663206111,0.2199172404897456,0.458206219649227,-0.0480075843921815
0.3455232705197697,0.9413598305723256,0.2693634790694064,-0.1106209130728265
0.151836632374168,0.4399906189664437,0.990881866558951,-0.3989255131463011
0.6455028351793182,0.3971429395797703,0.9197713377032198,-0.1138685147886399
0.7469119451655177,0.2841963092257342,0.2262998548875254,-0.1314606086413605
0.1704769939696806,0.697032400686134,0.1491694337083002,-0.0941895609105739
0.2205493370831766,0.2978252442230862,0.3435553444167258,-0.0469474058265191
0.6660136587669346,0.6719851513369297,0.2462952966705313,-0.1059650357355817
0.0468089497224973,0.2313602407834674,0.7706175921643,-0.1180482564468869
0.6000972824185008,0.7251357252228826,0.0660886414953486,-0.0363778280716324
0.9659948489488088,0.8611196897300882,0.5668291312870885,-0.0567583715539764
0.356359,0.319797,0.462451,-0.0109034099376774
0.5,0.5,0.5,-0.0106689333731942
0.999999,0.999999,0.999999,-0.1480829989576813
0.6,0.2,0.1,-0.0709248981950126
0.046809,0.94136,0.4578,-0.0317583146626031
0.4,0.4,0.5,-0.0359169404817964
0.046809,0.610434,0.402443,-0.0190224446726733
0.135789,0.876508,0.435897,-0.0348780447857469
0.375988,0.062835,0.410554,-0.0791322600990023
0.518202,0.652566,0.53208,-0.0157603523664713
0.583283,0.478096,0.434834,-0.0186614258931997
0.44,0.44,0.44,-0.011651
0.44,0.65,0.89,-0.050228
0.66271,0.628317,0.479535,-0.0023051313301106
0.367347,0.306122,0.44,-0.0157432866239461
0.225,0.2,0.2,-0.1552267846027002
0.69048,0.672535,0.673663,-0.1071238492336221
0.518202,0.652566,0.53208,-0.0157603523664713
0.66271,0.628317,0.479535,-0.0066870695733879
0.495187,0.779675,0.505214,-0.0225034188460565
0.343124,0.937866,0.760039,-0.134022572552828
0.69048,0.672535,0.673663,-0.107123849233622
0.698201,0.936338,0.0,
