0.06977239,0.9059617,0.58137129,0.79377349,0.6334747,-1.51269542
0.58946053,0.28597259,0.38227869,0.2299495,0.29487086,-1.34959856
0.98366102,0.06282972,0.00092346,0.65984388,0.26187826,-1.82739562
0.49831302,0.11536557,0.16056438,0.86279263,0.86942996,-1.71602331
0.6379055,0.07755486,0.82380305,0.45611469,0.14281995,-0.97248425
0.44659431,0.71537147,0.17979231,0.80155851,0.37934085,-1.20521138
0.85598053,0.26616466,0.35941568,0.85321831,0.36917198,-1.10099104
0.42033619,0.02442917,0.21612255,0.16569731,0.64769314,-1.91309535
0.55135421,0.8946458,0.68706567,0.47490358,0.04225346,-1.05157417
0.5301618,0.36950118,0.24696358,0.50655723,0.51019633,-1.19458833
0.22997907,0.81370131,0.47048338,0.2604034,0.77836604,-2.06906505
0.85103291,0.82628124,0.66370758,0.23463218,0.02757001,-1.48937327
0.1176196,0.5319165,0.99619541,0.96594673,0.93819022,-1.82528398
0.68435165,0.06629396,0.28089413,0.07895729,0.21456224,-1.7476171
0.90932629,0.55826875,0.98396752,0.47919544,0.1443553,-1.35823203
0.89946288,0.46574838,0.33157508,0.74614325,0.71194967,-1.44913772
0.69100419,0.66347735,0.76669773,0.09088778,0.47568645,-1.81134837
0.93026549,0.33221513,0.02297227,0.50917347,0.6604594,-2.00771782
0.44203165,0.25087253,0.64696063,0.04641499,0.25411129,-0.99967761
0.69974718,0.37107526,0.14914813,0.55974938,0.7720436,-1.67533648
