0.94478251,0.83050925,0.83227839,0.20292205
0.05244809,0.43614877,0.37845743,0.18802639
0.06304804,0.86636135,0.85864857,0.20857560
0.98882078,0.66382651,0.36648076,0.99624833
0.76332170,0.62834667,0.78222976,0.81919558
0.14275584,0.20216247,0.93864415,0.22320333
0.17997633,0.81948394,0.36434617,0.88796618
0.51645398,0.39496365,0.95182759,0.69880194
0.26844685,0.49315648,0.00685878,0.76232741
0.39818430,0.88166606,0.11669990,0.84462821
0.30584223,0.93636618,0.95401692,0.88360492
0.17995479,0.69481431,0.78705686,0.11803764
0.49675268,0.42376709,0.68348299,0.30627614
0.42326139,0.53827668,0.68362360,0.40884354
0.63954186,0.99740866,0.35346561,0.64339858
0.93742409,0.03577705,0.63450862,0.22699177
0.46963177,0.44637345,0.04460442,0.08712024
0.54468700,0.95335541,0.32346906,0.61262944
0.20733069,0.31091806,0.69477290,0.11411475
0.37937978,0.79168224,0.22186303,0.00501040
