0.16569979,0.25685582,0.65469,-0.12809391
0.65099632,0.42417272,0.52674437,-0.03103939
0.10601263,0.24333177,0.65025654,-0.1172756
0.35216426,0.10580766,0.06546785,-0.07944403
0.829086,0.4393692,0.20713429,-0.14258557
0.80489315,0.31206954,0.24371441,-0.11962132
0.46204056,0.12939599,0.83858636,-0.06119926
0.82217052,0.46650685,0.54929183,-0.03435924
0.98514841,0.72088289,0.77643975,-0.0876973
0.18674264,0.60674065,0.66958022,-0.11502216
0.28810255,0.70297378,0.89849626,-0.07478879
0.08742747,0.26673553,0.30128017,-0.10441561
0.87436053,0.86753817,0.89436325,-0.08945485
0.70350412,0.18532319,0.81992293,-0.08760022
0.57579775,0.32285284,0.53417744,-0.02514614
